procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58556464 169888 3309080    0    0     0     0 8826 14215  1  0 99  0  0
 0  0      0 58556464 169960 3309084    0    0     0   152 15708 27614  1  1 98  0  0
 0  0      0 58556212 169984 3309084    0    0     0    52 7252 10857  1  0 99  0  0
 0  0      0 58556212 170000 3309084    0    0     0    52 7054 10695  1  0 99  0  0
 0  0      0 58559932 170000 3309084    0    0     0     0 7346 11887  0  0 99  0  0
 0  0      0 58555708 170048 3309088    0    0     0   104 10072 16386  1  1 99  0  0
 0  0      0 58567552 170064 3309088    0    0     0    44 12250 20958  1  1 99  0  0
 0  0      0 58567048 170088 3309064    0    0     0    64 11704 20868  1  1 99  0  0
 0  0      0 58562312 170112 3309088    0    0     0    56 6866 11264  1  0 99  0  0
 0  0      0 58562312 170112 3309088    0    0     0     0 9897 16780  1  0 99  0  0
 0  0      0 58561808 170152 3309072    0    0     0   112 11520 19724  1  1 99  0  0
 0  0      0 58561812 170152 3309088    0    0     0     0 12721 22177  1  1 98  0  0
 0  0      0 58561812 170200 3309040    0    0     0   104 11160 18412  1  0 99  0  0
 0  0      0 58566036 170200 3309088    0    0     0     4 9282 15325  0  0 99  0  0
 0  0      0 58561560 170224 3309064    0    0     0    60 12020 20458  1  1 99  0  0
 1  0      0 58561560 170248 3309092    0    0     0    68 9780 15876  1  1 99  0  0
 0  0      0 58565784 170272 3309092    0    0     0    52 12077 20762  1  1 99  0  0
 0  0      0 58561304 170296 3309096    0    0     0    56 10085 16454  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58560804 170320 3309072    0    0     0    60 12744 21812  1  1 99  0  0
 1  0      0 58560804 170320 3309096    0    0     0     8 13017 22635  1  1 99  0  0
 0  0      0 58560324 170360 3309056    0    0     0   104 11064 18641  1  1 99  0  0
 0  0      0 58564540 170360 3309056    0    0     0    24 8886 14579  1  1 98  0  0
 0  0      0 58569092 170384 3309096    0    0     0    56 9823 16557  1  0 99  0  0
 0  0      0 58564616 170400 3309088    0    0     0    52 8494 13714  1  0 99  0  0
 0  0      0 58564616 170424 3309088    0    0     0    60 11327 18460  1  1 99  0  0
 0  0      0 58567580 170424 3309100    0    0     0     0 7228 10554  1  0 99  0  0
